exchange(交易所),code(代码),name(ETF简称),index_name(跟踪指数),fund_manager(基金管理人),listed_trading_days(上市交易天数_近300日封顶),suspend_days_60d(近60交易日停牌天数),adv_amount_60d(近60交易日日均成交额_元),avg_abs_premium_discount_60d(近60交易日平均绝对折溢价),pct_days_premium_discount_gt_1pct_60d(近60交易日折溢价超1%占比)
sz,159728,在线消费ETF南方,399361 在线消费,南方基金管理股份有限公司,300,0,7224217.14,0.001246,0.000000
sz,159729,互联网ETF汇添富,930625,汇添富基金管理股份有限公司,300,0,899689.79,0.003114,0.000000
sz,159730,家电ETF博时,980028 龙头家电,博时基金管理有限公司,300,0,1807902.67,0.001478,0.000000
sz,159731,石化ETF华夏,H11057,华夏基金管理有限公司,300,0,153198127.33,0.001139,0.000000
sz,159732,消费电子ETF华夏,980030 消费电子,华夏基金管理有限公司,300,0,208034471.07,0.001335,0.000000
sz,159735,港股消费ETF银华,931455,银华基金管理股份有限公司,300,0,47621456.64,0.004898,0.083333
sz,159736,食品饮料ETF天弘,930653,天弘基金管理有限公司,300,0,26198669.77,0.000742,0.000000
sz,159738,云计算ETF华泰柏瑞,931470,华泰柏瑞基金管理有限公司,300,0,27392341.33,0.001812,0.000000
sz,159739,云计算ETF鹏华,930851,鹏华基金管理有限公司,300,0,21723759.92,0.001072,0.000000
sz,159740,恒生科技ETF大成,HSTECH,大成基金管理有限公司,300,0,1764554246.40,0.005111,0.083333
sz,159741,恒生科技ETF嘉实,HSTECH,嘉实基金管理有限公司,300,0,153866075.40,0.004923,0.033333
sz,159742,恒生科技ETF博时,HSTECH,博时基金管理有限公司,300,0,228536405.60,0.004427,0.050000
sz,159743,湖北ETF博时,931393,博时基金管理有限公司,300,0,1342321.18,0.003194,0.050000
sz,159745,建材ETF国泰,931009,国泰基金管理有限公司,300,0,113247253.67,0.001257,0.000000
sz,159747,香港科技ETF南方,931574,南方基金管理股份有限公司,300,0,88836823.00,0.005372,0.083333
sz,159748,创新药ETF富国,931409,富国基金管理有限公司,300,0,25909088.12,0.002537,0.016667
sz,159750,港股科技50ETF招商,931574,招商基金管理有限公司,300,0,92561337.03,0.004840,0.083333
sz,159751,港股通科技ETF鹏华,931573,鹏华基金管理有限公司,300,0,65445708.40,0.005161,0.133333
sz,159752,新能源ETF申万菱信,000941,申万菱信基金管理有限公司,300,0,24328544.67,0.001546,0.000000
sz,159755,电池ETF广发,980032 新能电池,广发基金管理有限公司,300,0,846154538.13,0.001043,0.000000
sz,159757,电池ETF景顺,980032 新能电池,景顺长城基金管理有限公司,300,0,25595638.43,na,na
sz,159758,红利质量ETF华夏,931468,华夏基金管理有限公司,300,0,106234050.33,0.001158,0.000000
sz,159760,医疗健康ETF泰康,980016 医疗健康,泰康基金管理有限公司,300,0,1540638.67,na,na
sz,159761,新材料ETF国泰,H30597,国泰基金管理有限公司,300,0,12848597.03,0.001382,0.000000
sz,159763,新材料ETF建信,H30597,建信基金管理有限责任公司,300,0,5724515.26,0.001207,0.000000
sz,159766,旅游ETF富国,930633,富国基金管理有限公司,300,0,275808595.33,0.001115,0.000000
sz,159767,电池龙头ETF兴银,980032 新能电池,兴银基金管理有限责任公司,300,0,12707141.00,0.001072,0.000000
sz,159768,房地产ETF银华,000948,银华基金管理股份有限公司,300,0,29234629.07,0.001832,0.000000
sz,159770,机器人ETF天弘,H30590,天弘基金管理有限公司,300,0,255685863.07,0.001082,0.000000
sz,159773,创业板科技ETF华泰柏瑞,399276 创科技,华泰柏瑞基金管理有限公司,300,0,6700590.75,0.001039,0.000000
sz,159775,电池ETF建信,980032 新能电池,建信基金管理有限责任公司,300,0,27764080.92,0.001127,0.000000
sz,159776,港股医药ETF银华,930975,银华基金管理股份有限公司,300,0,20508735.72,0.006695,0.183333
sz,159777,创科技ETF国联安,399276 创科技,国联安基金管理有限公司,300,0,3356646.26,0.001734,0.000000
sz,159778,工业互联网ETF鹏华,931495,鹏华基金管理有限公司,300,0,1700609.52,0.000943,0.000000
sz,159779,消费电子ETF招商,931494,招商基金管理有限公司,300,0,13278607.18,0.001657,0.000000
sz,159780,科创创业50ETF南方,931643,南方基金管理股份有限公司,300,0,108256715.13,0.001069,0.000000
sz,159781,科创创业ETF易方达,931643,易方达基金管理有限公司,300,0,297027270.80,0.000909,0.000000
sz,159782,双创50ETF银华,931643,银华基金管理股份有限公司,300,0,30826386.88,0.001089,0.000000
sz,159783,科创创业50ETF华夏,931643,华夏基金管理有限公司,300,0,204271186.93,0.000904,0.000000
sz,159786,VRETF银华,930821,银华基金管理股份有限公司,300,0,16182695.31,0.001279,0.000000
sz,159787,建材ETF易方达,931009,易方达基金管理有限公司,300,0,4014839.71,0.001582,0.000000
sz,159788,港股通100ETF易方达,930957,易方达基金管理有限公司,300,0,14326603.20,0.007152,0.233333
sz,159790,碳中和ETF华夏,000977,华夏基金管理有限公司,300,0,40628172.17,0.001219,0.000000
sz,159791,300ESGETF华夏,931463,华夏基金管理有限公司,300,0,1503120.86,0.001629,0.000000
sz,159792,港股通互联网ETF富国,931637,富国基金管理有限公司,300,0,2111936996.27,0.006687,0.166667
sz,159793,线上消费ETF平安,931481,平安基金管理有限公司,300,0,981005.56,0.003924,0.033333
sz,159795,智能汽车ETF汇添富,930721,汇添富基金管理股份有限公司,300,0,5659126.47,0.000883,0.000000
sz,159796,电池ETF汇添富,931719,汇添富基金管理股份有限公司,300,0,381234350.93,0.001046,0.000000
sz,159797,医疗器械ETF汇添富,H30217,汇添富基金管理股份有限公司,300,0,4564656.96,0.001231,0.000000
sz,159798,消费ETF易方达,931139,易方达基金管理有限公司,300,0,7751890.72,0.000897,0.000000
sz,159800,中证800ETF鹏华,000906,鹏华基金管理有限公司,300,0,996215.95,0.001536,0.000000
sz,159801,芯片ETF广发,980017 国证芯片,广发基金管理有限公司,300,0,176209283.93,0.000926,0.000000
sz,159804,创中盘88ETF国寿,399291 创精选88,国寿安保基金管理有限公司,300,0,255324.19,0.003205,0.016667
sz,159805,传媒ETF鹏华,399971 中证传媒,鹏华基金管理有限公司,300,0,49035703.07,0.000832,0.000000
sz,159806,新能源车ETF国泰,399976 CS新能车,国泰基金管理有限公司,300,0,31841267.03,0.001059,0.000000
sz,159807,科技ETF易方达,931380,易方达基金管理有限公司,300,0,51691252.53,0.001186,0.000000
sz,159808,创100ETF融通,399006 创业板指,融通基金管理有限公司,300,0,3170251.75,0.001517,0.000000
sz,159810,创业板ETF浦银,399006 创业板指,浦银安盛基金管理有限公司,300,0,2660490.40,0.001595,0.016667
sz,159811,5GETF博时,931406,博时基金管理有限公司,300,0,14699974.31,0.000964,0.000000
sz,159812,黄金ETF前海开源,AU9999,前海开源基金管理有限公司,300,0,33736667.98,0.001957,0.016667
sz,159813,半导体ETF鹏华,980017 国证芯片,鹏华基金管理有限公司,300,0,365752252.53,0.000878,0.000000
sz,159814,创业大盘ETF西部利得,399293 创业大盘,西部利得基金管理有限公司,300,0,38447131.60,0.001081,0.000000
sz,159816,0-4年地方债ETF鹏华,931161,鹏华基金管理有限公司,300,0,3053019122.70,0.000267,0.000000
sz,159819,人工智能ETF易方达,930713,易方达基金管理有限公司,300,0,638006443.20,0.000677,0.000000
sz,159820,中证500ETF天弘,399905 中证 500,天弘基金管理有限公司,300,0,12947335.28,na,na
sz,159821,创业板ETF中银证券,399006 创业板指,中银国际证券股份有限公司,300,0,2457747.94,0.001417,0.000000
sz,159822,新经济ETF银华,SPNCSCHN,银华基金管理股份有限公司,300,0,15901870.63,0.002936,0.000000
sz,159824,新能源车ETF博时,399976 CS新能车,博时基金管理有限公司,300,0,7054300.74,0.000835,0.000000
sz,159825,农业ETF富国,000949,富国基金管理有限公司,300,0,170278381.40,0.001138,0.000000
sz,159827,农业ETF银华,000949,银华基金管理股份有限公司,300,0,3911922.47,0.001387,0.000000
sz,159828,医疗ETF国泰,399989 中证医疗,国泰基金管理有限公司,300,0,52106906.23,0.001096,0.000000
sz,159830,金ETF天弘,SHAU,天弘基金管理有限公司,300,0,83743205.27,na,na
sz,159831,金ETF嘉实,SHAU,嘉实基金管理有限公司,300,0,62753889.75,0.000740,0.000000
sz,159834,金ETF南方,SHAU,南方基金管理股份有限公司,300,0,85304805.70,0.000744,0.000000
sz,159835,创新药ETF建信,931152,建信基金管理有限责任公司,300,0,18931588.98,0.001009,0.000000
sz,159836,创业板300ETF天弘,399012 创业300,天弘基金管理有限公司,300,0,1250641.01,0.000859,0.000000
sz,159837,生物科技ETF易方达,930743,易方达基金管理有限公司,300,0,27612644.95,na,na
sz,159838,医药50ETF博时,931140,博时基金管理有限公司,300,0,2435146.20,0.001320,0.000000
sz,159839,生物医药ETF汇添富,399441 生物医药,汇添富基金管理股份有限公司,300,0,33979166.20,0.001502,0.000000
sz,159840,锂电池ETF工银,980032 新能电池,工银瑞信基金管理有限公司,300,0,153704763.60,0.001141,0.000000
sz,159841,证券ETF天弘,399975 证券公司,天弘基金管理有限公司,300,0,272182347.20,0.000910,0.000000
sz,159842,券商ETF银华,399975 证券公司,银华基金管理股份有限公司,300,0,341688168.27,0.000826,0.000000
sz,159843,食品饮料ETF招商,399396 国证食品,招商基金管理有限公司,300,0,8743775.11,0.001040,0.000000
sz,159845,中证1000ETF华夏,000852,华夏基金管理有限公司,300,0,1901270484.27,0.000806,0.000000
sz,159847,医疗ETF易方达,399989 中证医疗,易方达基金管理有限公司,300,0,20063627.40,0.001570,0.000000
sz,159848,证券ETF国联安,399975 证券公司,国联安基金管理有限公司,300,0,3846585.79,0.001086,0.000000
sz,159849,生物科技ETF招商,930743,招商基金管理有限公司,300,0,1124495.86,0.001467,0.000000
sz,159850,恒生国企ETF华夏,HSCEI,华夏基金管理有限公司,300,0,11268771.82,0.007765,0.216667
sz,159851,金融科技ETF华宝,930986,华宝基金管理有限公司,300,0,309456239.47,0.000792,0.000000
sz,159852,软件ETF嘉实,930601,嘉实基金管理有限公司,300,0,414047852.27,0.000760,0.000000
sz,159855,影视ETF银华,930781,银华基金管理股份有限公司,300,0,18709345.44,0.001538,0.000000
sz,159856,互联网龙头ETF工银,930625,工银瑞信基金管理有限公司,300,0,2853258.57,0.002425,0.000000
sz,159857,光伏ETF天弘,931151,天弘基金管理有限公司,300,0,195721042.40,0.001086,0.000000
sz,159858,创新药ETF南方,931152,南方基金管理股份有限公司,300,0,11944706.13,0.001419,0.000000
sz,159859,生物医药ETF天弘,399441 生物医药,天弘基金管理有限公司,300,0,128413739.33,0.001284,0.000000
sz,159861,碳中和50ETF国泰,930614,国泰基金管理有限公司,300,0,3215696.02,0.000876,0.000000
sz,159862,食品饮料ETF银华,000815,银华基金管理股份有限公司,300,1,3189894.72,0.001017,0.000000
sz,159863,光伏ETF鹏华,931151,鹏华基金管理有限公司,300,0,8746106.91,0.000914,0.000000
sz,159864,光伏ETF国泰,931151,国泰基金管理有限公司,300,0,31410845.67,0.000983,0.000000
sz,159865,养殖ETF国泰,930707,国泰基金管理有限公司,300,0,233416712.53,0.001196,0.000000
sz,159866,日经ETF工银,N225,工银瑞信基金管理有限公司,300,0,140184964.07,na,na
sz,159867,养殖ETF鹏华,930707,鹏华基金管理有限公司,300,0,39331744.57,0.001513,0.000000
sz,159869,游戏ETF华夏,930901,华夏基金管理有限公司,300,0,498027838.13,0.000949,0.000000
sz,159870,化工ETF鹏华,000813,鹏华基金管理有限公司,300,0,1283635462.40,0.001213,0.000000
sz,159871,有色ETF银华,930708,银华基金管理股份有限公司,300,0,86351824.57,0.001093,0.000000
sz,159872,智能网联汽车ETF鹏华,930725,鹏华基金管理有限公司,300,0,1526677.67,0.000910,0.000000
sz,159873,医疗设备ETF天弘,H30178,天弘基金管理有限公司,300,0,10937688.22,0.001363,0.000000
sz,159875,新能源ETF嘉实,399808 中证新能,嘉实基金管理有限公司,300,0,116446256.80,0.001071,0.000000
sz,159876,有色ETF华宝,930708,华宝基金管理有限公司,300,0,94616741.07,0.000833,0.000000
sz,159877,医疗ETF南方,H30178,南方基金管理股份有限公司,300,0,1477593.46,0.001255,0.000000
sz,159880,有色ETF鹏华,399395 国证有色,鹏华基金管理有限公司,300,0,73820400.60,0.001014,0.000000
sz,159881,有色金属ETF国泰,930708,国泰基金管理有限公司,300,0,19545246.48,0.000980,0.000000
sz,159883,医疗器械ETF永赢,H30217,永赢基金管理有限公司,300,0,127307461.27,0.000928,0.000000
sz,159885,碳中和ETF鹏华,000977,鹏华基金管理有限公司,300,0,2451837.54,0.001550,0.000000
sz,159886,机械ETF富国,000812,富国基金管理有限公司,300,0,3692505.18,0.001172,0.000000
sz,159887,银行ETF富国,H30022,富国基金管理有限公司,300,0,104786792.33,0.000875,0.000000
sz,159888,智能汽车ETF华夏,930721,华夏基金管理有限公司,300,0,15989253.51,0.000850,0.000000
sz,159889,智能汽车ETF国泰,930721,国泰基金管理有限公司,300,0,2814484.54,0.001031,0.000000
sz,159890,云计算ETF招商,930851,招商基金管理有限公司,300,0,43934264.20,0.000734,0.000000
sz,159891,医疗ETF建信,H30178,建信基金管理有限责任公司,300,0,6686717.58,0.001285,0.000000
sz,159892,恒生医药ETF华夏,HSHKBIO,华夏基金管理有限公司,300,0,834631226.00,0.006942,0.200000
sz,159895,物联网ETF易方达,930712,易方达基金管理有限公司,300,0,1986084.77,0.001089,0.000000
sz,159896,物联网ETF南方,930712,南方基金管理股份有限公司,300,0,3046087.38,0.001149,0.000000
sz,159898,医疗器械ETF招商,H30217,招商基金管理有限公司,300,0,17697350.68,0.001128,0.000000
sz,159899,软件ETF招商,H30202,招商基金管理有限公司,300,0,24197945.85,0.000782,0.000000
sz,159901,深证100ETF易方达,399330 深证100,易方达基金管理有限公司,300,0,325338120.80,0.000802,0.000000
sz,159902,中小100ETF华夏,399005 中小100,华夏基金管理有限公司,300,0,8748943.24,0.001119,0.016667
sz,159903,深成ETF南方,399001 深证成指,南方基金管理股份有限公司,300,0,34307632.03,0.001402,0.000000
sz,159905,红利ETF工银,399324 深证红利,工银瑞信基金管理有限公司,300,0,41159682.78,0.000677,0.000000
