exchange(交易所),code(代码),name(ETF简称),index_name(跟踪指数),fund_manager(基金管理人),listed_trading_days(上市交易天数_近300日封顶),suspend_days_60d(近60交易日停牌天数),adv_amount_60d(近60交易日日均成交额_元),avg_abs_premium_discount_60d(近60交易日平均绝对折溢价),pct_days_premium_discount_gt_1pct_60d(近60交易日折溢价超1%占比)
sz,159981,能源化工ETF建信,000201,建信基金管理有限责任公司,300,0,2629141228.80,0.010932,0.416667
sz,159982,中证500ETF鹏华,399905 中证 500,鹏华基金管理有限公司,300,0,19387702.17,0.001287,0.000000
sz,159985,豆粕ETF华夏,DCESMFI,华夏基金管理有限公司,300,0,802362023.93,0.056663,0.983333
sz,159991,创业板大盘ETF招商,399293 创业大盘,招商基金管理有限公司,300,0,4704725.29,0.001345,0.000000
sz,159992,创新药ETF银华,931152,银华基金管理股份有限公司,300,0,651548869.60,0.000939,0.000000
sz,159993,证券ETF鹏华,399437 证券龙头,鹏华基金管理有限公司,300,0,86889928.60,0.001133,0.000000
sz,159994,通信ETF银华,931079,银华基金管理股份有限公司,300,0,143357359.53,0.001551,0.000000
sz,159995,芯片ETF华夏,980017 国证芯片,华夏基金管理有限公司,300,0,960330707.20,0.000762,0.000000
sz,159996,家电ETF国泰,930697,国泰基金管理有限公司,300,0,67558843.32,na,na
sz,159997,电子ETF天弘,930652,天弘基金管理有限公司,300,0,64219598.80,0.001083,0.000000
sz,159998,计算机ETF天弘,930651,天弘基金管理有限公司,300,0,123237354.40,0.001198,0.000000
