strategy,cost_bps,Rs,ER_high,verdict
S4,0.5,0.014451717681758236,-0.014148282318241764,谨慎
S4,1.0,0.014330057025672804,-0.014269942974327196,谨慎
S4,2.0,0.014086774009666181,-0.01451322599033382,谨慎
S5,0.5,0.010354727089709082,-0.01824527291029092,观察（样本<24月）
S5,1.0,0.010331292769886202,-0.018268707230113798,观察（样本<24月）
S5,2.0,0.010284424706138662,-0.01831557529386134,观察（样本<24月）
